id,comment
@user-wp2rg2io4v,옛날때도 느꼈지만 멜로디가 중독적이라 나도 모르게 흥얼거리고 있답니다 
@user-gv1vs1rd6w,"난 아직도 요즘노래보다 90, 2000년도 노래가 더 좋더라"
@user-xq3fr9cz6r,98년생입니다. 이런 곡 시대보다 늦게 태어난게 조금 아쉽군요...ㅠ 넘 좋아요
@user-vc6oz8lf9b,왜 전주만 들어도 가슴이 뭉클하냐 하..
@user-bb4ut6vj1y,이 시대때 살아보고 싶다... 이런 노래도 많이 들을 수 있고 엄빠가 부럽...
@sjr2093,노래 개좋아ㅠㅠㅠ
@englishkwon,더이상 돌아오지 않을 그때 그시절 가요
@kimkoo88,이재훈 저당시 정말 잘생겼다 ㄷㄷㄷ쿨 노래 다좋다 ^^ 
@user-lc7mv8rk5f,가요계의 전설 대중들의 레전드 Coooooooooooooooooooooool
@user-ou6le4li4m,아니 중학생인 내가 이노래를 좋아하다니..... 요즘노래보단 옛날노래가 더신나고 좋다....
@user-xy2op6lb6e,20년 넘게 내가 가장 좋아하는 노래~
@ojasmin8543,쿨 노래중 이 노래가 젤 좋음..
@user-jt1wc2dg4v,한국가요의 황금기..그립네..
@user-qy4hx1jy1y,이재훈 잘생겨따..ㄷㄷ 어렷을떈 그냥 노래좋아서 들엇는데 그거말고도 당시 청춘들이 좋아할 요소도 많앗겟구나 ㅋㅋ
@user-zw7oz5of3c,완죤 대박 ^^
@yeelee7134,노래 너무 좋다 진짜특히 유리님이 훠우워우워우워 하시는 거ㅋㅋㅋㅋ
@RENA-wd8gj,지금 들어도 올드함 1도 없음~ 개조아!!♡
@user-yj8jg6rl9m,이재훈 진짜 귀공자를 뛰어선 귀족
@user-sn5ns9vv7c,쿨 노래중 젤 이다 이 노래~~그시절 좋은노래 많았지!!!
@user-naeshhh,노래너무좋아요 2022년인 지금도 듣고있습니다 93년생입니다!
@acacia41a98,진짜 레전드오브레전드곡이다
@user-pv6qc8ds2v,정말 노래로 승부하는....
@user-hu8nv9rt8o,놀이공원 가면 항상 자주 나오던 노래...시대가 지났어도...
@cemtori,"그냥 이 신나고 빠른 노래가 왜 이렇게.... 눙물이 흐르지... ㅠㅠ 아마도 다시는 갈 수 없고, 다시는 만날 수 없는 나를 그리워해서 그런가보다"
@user-xy7qq3bm1n,이재훈 노래 진짜 잘한당~  탑
@user-ek5eh7sf3t,노래 너무 좋아요~~ 이재훈 귀공자 스타일 넘넘 잘 생겼따~!! ^^
@user-jm3ch9ui1v,지금들어도 좋은 명곡...
@user-fu1eb8qq7h,지금 들어도 좋아
@IamChanho,유리 멋있다
@wonmr9133,쿨노래는 언제들어도 좋다~~~~~ 여름하면 쿨~~~UP~ 바다~~
@plmplm1268,쿨 노래 중에서 지금까지도 계속 듣고 있는 노래
@user-mi2kh2nv6l,요즘노래보다 백배낫다
@Hakuren2077,지금때도 목소리가 좋아요!!!
@icecoffebread,초등학교 수련회갈때 관광버스 애창곡이었는데...ㅎㅎ 추억 돋네요 ㅎㅎ
@birdielife3382,지금 2020년...정말 저 때가 그립다...
@user-yk7db2mu8r,요즘 외국인들만 좋아하고 정작 한국인들은 안 좋아하는 k-pop보다 백만배는 더 노래같은 노래다
@diegocaesarq,유리 춤 진짜 잘추네요
@juhan8272,저요 저요!! 외국으로 시잡와서 25년 지나 들어도 넘 좋다 눈물나게~그땐 몰랐는데 댄스곡 가사 의미 완전 동감하면서 듣고 있어요.
@user-kb4xs4rr5f,와~~~COOL노래완전좋다중독되엇어
@user-pj5jo9pr8g,와우~지금 내 나이 30살인데 벌써 시간이 훌쩍 지나서 지금 다시 들어봐도 손색없이 좋은듯 싶네요
@ksk3530,갑자기 이 노래가 생각남.. 나의 청춘시절
@mjk3478,노래가너무좋아요
@user-yy7gi3vr3e,옛날 추억하면서 넘좋네요~
@user-fj2ib8cd2x,요즘 노래보다 훨씬 낫다
